Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
29-392-9296,49,Male,High,Married,High School,High,Huocheng,Food & Beverages,$222.22 ,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,True,False,Wants-based,Standard,6
84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,$426.22 ,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,True,True,Impulsive,No Preference,3
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren,Furniture,$486.40 ,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,True,False,Need-based,Express,13
37-065-3182,24,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,$201.96 ,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,6/10/2024,False,False,Need-based,Standard,7
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,$389.70 ,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,7/2/2024,True,False,Planned,Express,12
78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Győr,Sports & Outdoors,$238.93 ,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,12/27/2024,True,False,Planned,No Preference,1
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,$61.22 ,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,8/5/2024,True,True,Need-based,No Preference,5
80-684-5072,32,Male,High,Married,High School,Middle,Rokytne,Animal Feed,$79.81 ,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,False,True,Wants-based,Standard,14
90-069-8934,40,Male,High,Divorced,Master's,High,Dhankutā,Hotels,$109.29 ,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,8/11/2024,False,True,Wants-based,Express,11
45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong,Furniture,$356.45 ,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8
